id,sexo,fechnac,educ,catlab,salario_actual,salario_inicial,antiguedad,experiencia,minoría,directivo
1,1,2/3/1952,15,3,57000,27000,98,144,0,1
2,1,5/23/1958,16,1,40200,18750,98,36,0,0
3,0,7/26/1929,12,1,21450,12000,98,381,0,0
4,0,4/15/1947,8,1,21900,13200,98,190,0,0
5,1,2/9/1955,15,1,45000,21000,98,138,0,0
6,1,8/22/1958,15,1,32100,13500,98,67,0,0
7,1,4/26/1956,15,1,36000,18750,98,114,0,0
8,0,5/6/1966,12,1,21900,9750,98,0,0,0
9,0,1/23/1946,15,1,27900,12750,98,115,0,0
10,0,2/13/1946,12,1,24000,13500,98,244,0,0
11,0,2/7/1950,16,1,30300,16500,98,143,0,0
12,1,1/11/1966,8,1,28350,12000,98,26,1,0
13,1,7/17/1960,15,1,27750,14250,98,34,1,0
14,0,2/26/1949,15,1,35100,16800,98,137,1,0
15,1,8/29/1962,12,1,27300,13500,97,66,0,0
16,1,11/17/1964,12,1,40800,15000,97,24,0,0
17,1,7/18/1962,15,1,46000,14250,97,48,0,0
18,1,3/20/1956,16,3,103750,27510,97,70,0,1
19,1,8/19/1962,12,1,42300,14250,97,103,0,0
20,0,1/23/1940,12,1,26250,11550,97,48,0,0
21,0,2/19/1963,16,1,38850,15000,97,17,0,0
22,1,9/24/1940,12,1,21750,12750,97,315,1,0
23,0,3/15/1965,15,1,24000,11100,97,75,1,0
24,0,3/27/1933,12,1,16950,9000,97,124,1,0
25,0,7/1/1942,15,1,21150,9000,97,171,1,0
26,1,11/8/1966,15,1,31050,12600,96,14,0,0
27,1,3/19/1954,19,3,60375,27480,96,96,0,1
28,1,4/11/1963,15,1,32550,14250,96,43,0,0
29,1,1/28/1944,19,3,135000,79980,96,199,0,1
30,1,9/17/1961,15,1,31200,14250,96,54,0,0
31,1,2/24/1964,12,1,36150,14250,96,83,0,0
32,1,1/28/1954,19,3,110625,45000,96,120,0,1
33,1,3/18/1961,15,1,42000,15000,96,68,0,0
34,1,2/2/1949,19,3,92000,39990,96,175,0,1
35,1,8/22/1961,17,3,81250,30000,96,18,0,1
36,0,8/7/1963,8,1,31350,11250,96,52,0,0
37,1,10/9/1954,12,1,29100,13500,96,113,1,0
38,1,4/27/1962,15,1,31350,15000,96,49,1,0
39,1,6/22/1960,16,1,36000,15000,96,46,1,0
40,0,8/28/1933,15,1,19200,9000,96,23,1,0
41,0,3/18/1961,12,1,23550,11550,96,52,1,0
42,1,9/23/1960,15,1,35100,16500,95,90,0,0
43,1,1/18/1964,12,1,23250,14250,95,46,0,0
44,1,6/15/1963,8,1,29250,14250,95,50,0,0
45,1,8/2/1938,12,2,30750,13500,95,307,0,0
46,0,11/18/1940,15,1,22350,12750,95,165,0,0
47,0,4/28/1938,12,1,30000,16500,95,228,0,0
48,1,6/7/1947,12,2,30750,14100,94,240,0,0
49,1,9/16/1958,15,1,34800,16500,94,93,0,0
50,1,2/9/1960,16,3,60000,23730,94,59,0,1
51,1,7/8/1962,12,1,35550,15000,94,48,0,0
52,1,11/12/1963,15,1,45150,15000,94,40,0,0
53,1,4/21/1954,18,3,73750,26250,94,56,0,1
54,1,6/4/1931,12,1,25050,13500,94,444,0,0
55,1,6/25/1960,12,1,27000,15000,94,120,0,0
56,1,4/16/1962,15,1,26850,13500,94,5,0,0
57,1,4/15/1963,15,1,33900,15750,94,78,0,0
58,0,11/14/1964,15,1,26400,13500,94,3,0,0
59,1,5/7/1961,15,1,28050,14250,94,36,1,0
60,1,2/16/1959,12,1,30900,15000,94,102,1,0
61,1,4/28/1964,8,1,22500,9750,94,36,1,0
62,1,7/18/1962,16,3,48000,21750,93,22,0,1
63,1,8/20/1961,17,3,55000,26250,93,32,0,1
64,1,9/28/1963,16,3,53125,21000,93,48,0,1
65,1,3/28/1964,8,1,21900,14550,93,41,0,0
66,1,2/16/1962,19,3,78125,30000,93,7,0,1
67,1,5/28/1964,16,3,46000,21240,93,35,0,1
68,1,5/5/1963,16,3,45250,21480,93,36,0,1
69,1,6/23/1960,16,3,56550,25000,93,34,0,1
70,1,2/8/1962,15,1,41100,20250,93,27,0,0
71,1,8/26/1948,17,3,82500,34980,93,207,0,1
72,0,1/7/1964,16,1,54000,18000,93,11,0,0
73,0,2/9/1968,12,1,26400,10500,93,0,0,0
74,0,4/28/1933,15,1,33900,19500,93,192,0,0
75,0,8/12/1965,15,1,24150,11550,93,0,0,0
76,0,9/3/1967,15,1,29250,11550,93,11,0,0
77,0,9/9/1968,12,1,27600,11400,93,6,0,0
78,0,8/20/1968,12,1,22950,10500,93,10,0,0
79,0,1/23/1962,16,1,34800,14550,93,8,0,0
80,0,5/25/1961,16,1,51000,18000,93,22,0,0
81,0,3/12/1968,12,1,24300,10950,93,5,0,0
82,0,8/28/1947,12,1,24750,14250,93,193,1,0
83,0,10/12/1967,12,1,22950,11250,93,0,1,0
84,0,3/12/1967,8,1,25050,10950,93,8,1,0
85,1,4/9/1962,15,1,25950,17100,92,42,0,0
86,1,8/25/1961,15,1,31650,15750,92,64,0,0
87,1,10/20/1959,12,1,24150,14100,92,130,0,0
88,1,2/10/1962,19,3,72500,28740,92,10,0,1
89,1,6/24/1961,19,3,68750,27480,92,8,0,1
90,0,2/27/1938,8,1,16200,9750,92,0,0,0
91,0,11/4/1967,12,1,20100,11250,92,24,0,0
92,0,6/25/1968,8,1,24000,10950,92,6,0,0
93,0,3/5/1968,12,1,25950,10950,92,0,0,0
94,0,8/4/1950,12,1,24600,10050,92,44,0,0
95,0,8/8/1968,12,1,28500,10500,92,6,0,0
96,1,10/2/1933,8,2,30750,15000,92,432,1,0
97,1,1/18/1953,17,1,40200,19500,92,168,1,0
98,1,5/17/1956,8,2,30000,15000,92,144,1,0
99,0,7/7/1968,12,1,22050,10950,92,5,1,0
100,1,10/25/1963,18,3,78250,27480,91,47,0,1
101,1,3/14/1960,16,3,60625,22500,91,44,0,1
102,1,3/28/1963,14,1,39900,15750,91,59,0,0
103,1,3/17/1959,19,3,97000,35010,91,68,0,1
104,1,11/5/1962,15,1,27450,15750,91,48,0,0
105,1,3/7/1966,15,1,31650,13500,91,18,0,0
106,1,8/4/1962,19,3,91250,29490,91,23,0,1
107,0,8/16/1960,12,1,25200,14400,91,83,0,0
108,0,7/16/1930,12,1,21000,11550,91,108,0,0
109,1,11/10/1963,12,1,30450,15000,91,49,1,0
110,1,10/29/1952,15,1,28350,18000,91,151,1,0
111,1,11/27/1940,12,2,30750,9000,91,314,1,0
112,1,6/21/1948,12,2,30750,15000,91,240,1,0
113,1,10/6/1959,16,3,54875,27480,90,68,0,1
114,1,8/25/1961,14,1,37800,16500,90,60,0,0
115,1,5/12/1961,15,1,33450,14100,90,85,0,0
116,1,6/9/1962,15,1,30300,16500,90,16,0,0
117,0,1/14/1932,12,1,31500,18750,90,205,0,0
118,0,3/4/1964,12,1,31650,14250,90,48,0,0
119,0,7/23/1963,12,1,25200,14100,90,55,0,0
120,0,11/12/1964,16,3,37800,15750,90,7,0,1
121,0,8/6/1936,15,1,18750,10500,90,54,0,0
122,0,9/26/1965,15,1,32550,13500,90,22,0,0
123,0,4/24/1949,12,1,33300,15000,90,3,0,0
124,0,5/29/1963,16,1,38550,16500,90,0,0,0
125,1,8/6/1956,12,1,27450,15000,90,173,1,0
126,1,1/21/1951,15,2,24300,15000,90,191,1,0
127,1,9/1/1950,12,2,30750,15000,90,209,1,0
128,0,7/25/1946,12,1,19650,9750,90,229,1,0
129,1,7/18/1959,17,3,68750,27510,89,38,0,1
130,1,9/6/1958,20,3,59375,30000,89,6,0,1
131,1,2/8/1962,15,1,31500,15750,89,22,0,0
132,1,5/17/1953,12,1,27300,17250,89,175,0,0
133,1,9/12/1959,15,1,27000,15750,89,87,0,0
134,0,11/10/1941,16,3,41550,24990,89,285,0,1
135,0,5/22/1968,12,1,26250,10950,89,0,0,0
136,1,8/25/1939,12,1,22200,15000,88,324,0,0
137,1,7/12/1937,21,3,65000,37500,88,264,0,1
138,1,1/9/1947,12,1,30900,15000,88,252,0,0
139,0,6/18/1931,8,1,20100,13200,88,90,0,0
140,0,4/5/1965,12,1,22350,13500,88,26,0,0
141,0,6/14/1966,15,1,35550,13350,88,32,0,0
142,0,11/13/1966,12,1,28500,13950,88,34,0,0
143,0,8/24/1939,12,1,24450,13200,88,107,0,0
144,0,8/28/1931,8,1,16650,9750,88,412,0,0
145,1,1/15/1964,12,1,26700,13500,88,38,1,0
146,1,1/2/1951,18,1,43950,23250,88,182,1,0
147,1,9/11/1936,15,1,23700,13500,88,359,1,0
148,0,10/5/1959,15,1,26550,14250,88,61,1,0
149,1,6/28/1962,12,1,27600,15000,87,75,0,0
150,1,3/5/1954,12,1,25800,15000,87,143,0,0
151,1,8/16/1954,16,3,42300,26250,87,126,0,1
152,1,5/3/1929,8,2,30750,15000,87,451,0,0
153,0,5/13/1967,12,1,26700,12900,87,18,0,0
154,0,6/7/1940,12,1,20850,12000,87,163,0,0
155,1,3/6/1963,15,1,35250,15000,87,54,1,0
156,1,1/12/1963,15,1,26700,15000,87,56,1,0
157,0,7/2/1967,12,1,26550,13050,87,11,1,0
158,0,9/20/1964,12,1,27750,12000,87,11,1,0
159,0,1/13/1951,16,1,25050,12750,87,123,1,0
160,1,8/27/1951,16,3,66000,47490,86,150,0,1
161,1,2/11/1963,16,1,52650,19500,86,20,0,0
162,1,5/25/1961,16,3,45625,23250,86,60,0,1
163,1,11/10/1965,15,1,30900,15000,86,25,0,0
164,0,8/13/1965,15,1,29400,16500,86,24,0,0
165,0,4/29/1966,15,1,33300,13500,86,24,0,0
166,0,7/12/1942,12,1,21900,9750,86,156,0,0
167,0,8/26/1932,12,1,18150,9750,86,72,0,0
168,0,4/23/1962,16,3,46875,17250,86,19,0,1
169,1,5/23/1965,12,1,25500,14400,86,37,1,0
170,1,6/13/1964,12,1,26550,15000,86,38,1,0
171,1,1/21/1930,12,1,26700,13500,86,367,1,0
172,0,6/13/1953,15,1,29850,15000,86,79,1,0
173,1,1/15/1950,20,3,69250,42480,85,134,0,1
174,1,1/7/1935,8,2,31950,15000,85,438,0,0
175,1,1/8/1938,8,1,26250,15600,85,171,0,0
176,0,10/5/1962,16,1,35700,17250,85,19,0,0
177,0,8/11/1962,12,1,28500,16500,85,69,0,0
178,0,1/17/1938,12,1,17100,10200,85,72,0,0
179,1,1/19/1965,12,1,25200,13050,85,29,1,0
180,0,1/23/1960,12,1,24000,12750,85,59,1,0
181,0,1/4/1939,12,1,27450,10200,85,101,1,0
182,0,3/8/1943,12,1,18450,10200,85,228,1,0
183,1,3/1/1960,15,1,39300,15750,84,72,0,0
184,1,11/5/1964,15,1,38850,15000,84,53,0,0
185,1,8/28/1930,8,2,30750,15000,84,380,0,0
186,1,7/6/1964,15,1,37500,20400,84,33,0,0
187,1,7/29/1963,16,3,58750,21750,84,13,0,1
188,0,2/4/1934,12,1,34500,18750,84,208,0,0
189,0,3/28/1950,12,1,36000,19980,84,240,0,0
190,0,11/15/1932,8,1,29100,16500,84,35,0,0
191,0,10/23/1931,12,1,16500,10200,84,288,0,0
192,1,10/9/1949,12,1,19650,12750,84,180,1,0
193,0,7/22/1966,12,1,24750,12000,84,41,1,0
194,0,4/10/1938,15,1,27150,15750,84,231,1,0
195,0,11/6/1955,12,1,26400,12750,84,36,1,0
196,0,3/3/1946,16,1,23100,12000,84,214,1,0
197,1,10/1/1962,15,3,54900,25500,83,49,0,1
198,1,3/17/1952,19,3,70875,43500,83,156,0,1
199,1,2/2/1958,16,3,51250,27480,83,69,0,1
200,1,2/13/1963,17,3,67500,34980,83,9,0,1
201,1,5/8/1955,12,1,29340,19500,83,150,0,0
202,1,3/17/1963,15,1,39600,16500,83,47,0,0
203,1,3/17/1964,12,1,29100,15000,83,50,0,0
204,1,10/21/1960,15,1,33150,16500,83,69,0,0
